table_type_e,table_type_c,table_code,district_e,district_c,nominee_count,name_e,name_c,alias_e,alias_c,gender_e,gender_c,occupation_e,occupation_c,affiliation_e,affiliation_c,date_of_nomination
Functional Constituencies,功能界別,FC_ALLO,"Architectural, Surveying, Planning and Landscape",建築、測量、都市規劃及園境界,1,KWAN Siu-lun,關兆倫,,,M,男,Architect,建築師,,,20/7/2020
Functional Constituencies,功能界別,FC_ALLO,"Sports, Performing Arts, Culture and Publication",體育、演藝、文化及出版界,1,CHOW Siu-lung Herbert,周小龍,,,M,男,Businessman,商人,Independent Candidate,獨立候選人,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Accountancy,會計界,1,LEUNG Kai-cheong Kenneth,梁繼昌,,,M,男,Tax Consultant,稅務顧問,Professionals Guild,專業議政,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Agriculture and Fisheries,漁農界,1,HO Chun-yin Steven,何俊賢,,,M,男,Legislative Council Member,立法會議員,Democratic Alliance for the Betterment and Progress of Hong Kong,民主建港協進聯盟,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Catering,飲食界,1,CHEUNG Yu-yan Tommy,張宇人,,,M,男,Businessman,商人,Liberal Party,自由黨,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Commercial (first),商界（第一）,1,LAM Kin-fung Jeffrey,林健鋒,,,M,男,Managing Director,董事長,BPA,經民聯,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Commercial (second),商界（第二）,1,LIAO Cheung-kong Martin,廖長江,,,M,男,Barrister-at-law,大律師,,,24/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,1,CHAN Chun-chit Richard,陳振哲,,,M,男,District Council Member,區議員,,,24/7/2020
Functional Constituencies,功能界別,FC_ALLO,Education,教育界,1,TANG Fei,鄧飛,,,M,男,Principal,中學校長,Hong Kong Federation of Education Workers,香港教育工作者聯會,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Engineering,工程界,1,CHING Ming-tat,程明達,Louis Ching,程Sir,M,男,Engineer,工程師,,,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Finance,金融界,1,CHAN Chun-ying,陳振英,,,M,男,*Bank Advisor,*銀行顧問,,,21/7/2020
Functional Constituencies,功能界別,FC_ALLO,Financial Services,金融服務界,1,TSUI Luen-on,徐聯安,,,M,男,Chairman,集團主席,,,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Functional Constituency,功能界別,1,Name of Nominees (Surname first),獲提名人士姓名,Alias,(姓氏先行),Gender,別名,Occupation,性別,Political Affiliation,職業,Date of Nomination
Functional Constituencies,功能界別,FC_ALLO,Health Services,衞生服務界,1,YU Wai-ming Winnie,余慧明,,,F,女,"Health Informatics Analyst, Registered Nurse",醫療信息主任、註冊護士,,,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Heung Yee Kuk,鄉議局,1,LAU Ip-keung Kenneth,劉業強,,,M,男,Businessman,商人,BPA,經民聯,23/7/2020
Functional Constituencies,功能界別,FC_ALLO,Import and Export,進出口界,1,WONG Kennedy Ying-ho,黃英豪,,,M,男,"Solicitor, Merchant",律師、商人,Democratic Alliance for the Betterment and Progress of Hong Kong,民主建港協進聯盟,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Industrial (first),工業界（第一）,1,LEUNG Kwan-yuen Andrew,梁君彥,,,M,男,Consultant,顧問,Business and Professionals Alliance for Hong Kong,香港經濟民生聯盟,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Industrial (second),工業界（第二）,1,NG Wing-ka,吳永嘉,,,M,男,"Legal Practitioner, Director",執業律師、公司董事,*Business and Professionals Alliance for Hong Kong,香港經濟民生聯盟,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Information Technology,資訊科技界,1,WONG Ho-wa,黃浩華,,,M,男,Data Scientist,數據科學家,IT Vision,IT Vision,20/7/2020
Functional Constituencies,功能界別,FC_ALLO,Insurance,保險界,1,CHAN Kin-por,陳健波,,,M,男,Member of the Legislative Council,立法會議員,,,21/7/2020
Functional Constituencies,功能界別,FC_ALLO,Labour,勞工界,1,WONG Kwok Kingsley,黃國,,,M,男,Labour Service,工會工作者,FTU,工聯會,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Legal,法律界,1,KWOK Wing-hang,郭榮鏗,Dennis,,M,男,Barrister-at-law,大律師,Civic Party,公民黨,20/7/2020
Functional Constituencies,功能界別,FC_ALLO,Medical,醫學界,1,CHAN Pierre,陳沛然,,,M,男,Medical Doctor,醫生,,,21/7/2020
Functional Constituencies,功能界別,FC_ALLO,Real Estate and Construction,地產及建造界,1,SHEK Lai-him Abraham,石禮謙,Abraham Razack,,M,男,Businessman,商人,BPA,經民聯,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Social Welfare,社會福利界,1,CHEUNG Chi-wai,張志偉,,,M,男,Social Worker,社會工作者,Hong Kong Social Workers' General Union,香港社會工作者總工會,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Textiles and Garment,紡織及製衣界,1,CHUNG Kwok-pan,鍾國斌,,,M,男,Merchant,商人,Liberal Party,自由黨,23/7/2020
Functional Constituencies,功能界別,FC_ALLO,Tourism,旅遊界,1,YIU Pak-leung,姚柏良,,,M,男,,,,,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Transport,航運交通界,1,YICK Chi-ming Frankie,易志明,,,M,男,Business Executive,行政人員,Liberal Party,自由黨,24/7/2020
Functional Constituencies,功能界別,FC_ALLO,Wholesale and Retail,批發及零售界,1,CHEUNG Sau-yin,張秀賢,,,M,男,"Assistant General Manager, District Councillor",助理總經理、區議員,Independent Democrat,獨立民主派,23/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,1,SHUM Lester,岑敖暉,,,M,男,District Councillor,區議員,,,24/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,1,TANG Wai-chun,鄧偉俊,,,M,男,Chef,廚師,Hong Kong Young Heart,香港初心,18/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,1,LEE On-kau,李安求,,,M,男,Salesman,售貨員,Hong Kong Policy Change,香港政策改變,18/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,1,KAN Ming-tung,簡銘東,,,M,男,Kwun Tong District Council Member,觀塘區議員,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,1,LUK Chung-hung,陸頌雄,,,M,男,Legislative Council Member,立法會議員,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,1,MOW Tai-hing,繆泰興,,,M,男,Trade Union Worker,工會工作者,,,20/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,1,TANG Ka-piu,鄧家彪,,,M,男,Trade Union Worker,工會工作者,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,1,WONG Kwok-kin,黃國健,,,M,男,Legislative Councillor,立法會議員,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,1,CHENG Chung-tai,鄭松泰,,,M,男,Member of LegCo,立法會議員,Civic Passion,熱血公民,18/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,1,LAM Hak-lam,林克霖,Dragonheart,龍心,M,男,"IT Expert, Carpenter, Plumber, Taxi-Truck Driver, Cleaner",電腦專才、木工水喉師傅、的士貨車、清潔工人,,,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,"Architectural, Surveying, Planning and Landscape",建築、測量、都市規劃及園境界,2,TSE Wai-chuen Tony,謝偉銓,,,M,男,Surveyor,測量師,,,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,"Sports, Performing Arts, Culture and Publication",體育、演藝、文化及出版界,2,LEE Kam-tim,李錦添,,,M,男,Property Management,物業管理,Political Independent,政治獨立,23/7/2020
Functional Constituencies,功能界別,FC_ALLO,Accountancy,會計界,2,LAM Chi-yuen Nelson,林智遠,,,M,男,Accountant,會計師,,,20/7/2020
Functional Constituencies,功能界別,FC_ALLO,Catering,飲食界,2,LAM Sui-wa,林瑞華,,,M,男,Businessman,商人,Civic Party,公民黨,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Commercial (first),商界（第一）,2,SUEN Chi-hang,孫志恒,Henry,,M,男,Director,董事,,,31/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,2,LAU Cheuk-yu,劉卓裕,,,M,男,District Councillor,區議員,,,25/7/2020
Functional Constituencies,功能界別,FC_ALLO,Education,教育界,2,IP Kin-yuen,葉建源,,,M,男,"Legislative Councillor, Registered Teacher",立法會議員、檢定教員,Hong Kong Professional Teachers' Union,香港教育專業人員協會,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Engineering,工程界,2,LO Wai-kwok,盧偉國,,,M,男,Engineer,工程師,BPA,經民聯,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Financial Services,金融服務界,2,CHIM Kim-lun Ricky,詹劍崙,,,M,男,Merchant,商人,,,21/7/2020
Functional Constituencies,功能界別,FC_ALLO,Health Services,衞生服務界,2,SO Yiu-wah,蘇曜華,,,M,男,Pharmacist,藥劑師,,,28/7/2020
Functional Constituencies,功能界別,FC_ALLO,Import and Export,進出口界,2,LAM King-nam,林景楠,,,M,男,Merchant,商人,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Information Technology,資訊科技界,2,CHU Ka-yin Norma,朱嘉盈,,,F,女,CEO,行政總裁,Independent Candidate,獨立候選人,29/7/2020
Functional Constituencies,功能界別,FC_ALLO,Labour,勞工界,2,LEUNG Tsz-wing Dennis,梁子穎,,,M,男,Community Officer,社區主任,FTU,工聯會,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Legal,法律界,2,DALEY MAK Hing-fun Angel,麥慶歡,,,F,女,Barrister at Law,大律師,,,28/7/2020
Functional Constituencies,功能界別,FC_ALLO,Medical,醫學界,2,LAM Tzit-yuen David,林哲玄,,,M,男,Doctor (Surgeon),醫生（外科）,,,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Social Welfare,社會福利界,2,TAM Wing-fun Eric,譚榮勳,,,M,男,RSW,註冊社工,DAB,民建聯,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Textiles and Garment,紡織及製衣界,2,YEUNG Chin,楊展,,,M,男,Fashion Designer,時裝設計師,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Tourism,旅遊界,2,YIP Hing-ning Freddy,葉慶寧,,,M,男,Travel Agent Owner,旅行社東主,Independent Candidate,獨立候選人,28/7/2020
Functional Constituencies,功能界別,FC_ALLO,Wholesale and Retail,批發及零售界,2,SHIU Ka-fai,邵家輝,,,M,男,"Legislative Councillor, Company Director",立法會議員、公司董事,Liberal Party,自由黨,28/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,2,TO Kun-sun James,涂謹申,,,M,男,"Member of Legislative Council, Solicitor",立法會議員、律師,The Democratic Party,民主黨,25/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,2,YUEN Hoi-man,袁海文,Ramon,,M,男,District Councillor,區議員,The Democratic Party,民主黨,25/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,2,CHENG Kam-mun,鄭錦滿,,,M,男,Legislative Assistant,立法會議員助理,Civic Passion,熱血公民,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,2,CHONG Tsz-yan,莊芷茵,,法子,F,女,Internet Radio Presenter,網台主持,Civic Passion,熱血公民,18/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,2,CHAN Hoi-yan,陳凱欣,,,F,女,Members of the Legislative Council,立法會議員,,,22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,2,CHEN Lihong,陳麗紅,,,F,女,Community Organizer,社區幹事,,,22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,2,HO Hin-ming,何顯明,,,M,男,District Councillor Members,區議員,,,22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,2,LEE Man-kit,李文傑,,,M,男,Community Organizer,社區幹事,,,22/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,2,CHEUNG Ki-tang,張琪騰,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,2,CHEUNG Pui-kong,張培剛,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,2,LAI Wing-ho Joe,黎榮浩,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,2,LEUNG Tang-fung,梁騰丰,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,2,POON Cheuk-bun,潘卓斌,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,CHAN Han-pan,陳恒鑌,,,M,男,Councillor,議員,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,KWOK Fu-yung,郭芙蓉,,,F,女,Kwai Tsing District Council Member,葵青區議員,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,KWOK Wai-man Mealoha,郭慧文,,,F,女,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,LEE Wang-fung,李宏峯,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,LEUNG Kar-ming,梁嘉銘,,,F,女,District Council Member,區議員,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,LI Sai-lung,李世隆,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,NG Chun-yu,伍俊瑜,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,PAU Ming-hong,鮑銘康,,,M,男,Assistant Co-ordinator,助理統籌主任,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,TSANG Tai,曾大,,,M,男,Assistant Co-ordinator,助理統籌主任,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,2,CHAN Yuk-ngor Estella,陳玉娥,Jenny,娥姐,F,女,Director,公司董事,Independent Non-affiliated Candidate,獨立無黨派候選人,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,"Sports, Performing Arts, Culture and Publication",體育、演藝、文化及出版界,3,FOK Kai-kong Kenneth,霍啟剛,,,M,男,Merchant,商人,,,23/7/2020
Functional Constituencies,功能界別,FC_ALLO,Accountancy,會計界,3,TAM Heung-man,譚香文,,,F,女,Accountant,會計師,Pan Democratic,民主派,28/7/2020
Functional Constituencies,功能界別,FC_ALLO,Catering,飲食界,3,LO Hon-ho,盧翰豪,,,M,男,"Director, Food Factory",食物製造廠董事,,,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,3,LAU Pui-yuk,劉佩玉,,,F,女,District Councillor,區議員,DAB,民建聯,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Education,教育界,3,CHIANG Man-ching,蔣旻正,,,M,男,"*Teacher, District Councilor, Editor, Writer",*教員、區議員、編輯、作者,,,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Engineering,工程界,3,WONG Wai-shun,黃偉信,,,M,男,Engineer,工程師,,,24/7/2020
Functional Constituencies,功能界別,FC_ALLO,Financial Services,金融服務界,3,CHEUNG Wah-fung Christopher,張華峯,,張華峰,M,男,Securities Dealer,證券交易商,Business and Professionals Alliance for Hong Kong,香港經濟民生聯盟,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Health Services,衞生服務界,3,CHAN Kwok-shing,陳國誠,,,M,男,Registered Nurse,註冊護士,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Information Technology,資訊科技界,3,LI Kai-ming,李啟明,,,M,男,,,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Labour,勞工界,3,LAM Chun-sing,林振昇,,,M,男,Trade Union Staff,工會工作者,The Federation of Hong Kong and Kowloon Labour Unions,港九勞工社團聯會,23/7/2020
Functional Constituencies,功能界別,FC_ALLO,Legal,法律界,3,DYKES Philip John,DYKES Philip John,,戴啓思,M,男,Senior Counsel,資深大律師,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Social Welfare,社會福利界,3,LUI Chi-hang Hendrick,呂智恆,,,M,男,Social Worker,社工,,本土抗爭,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Tourism,旅遊界,3,CHOW Kam-kei Frankie,周錦基,,,M,男,Director of Online Travel Media,網上旅遊媒體董事,Independent Candidate,獨立候選人,29/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,3,KWONG Chun-yu,鄺俊宇,,,M,男,Legislative Councillor,立法會議員,The Democratic Party,民主黨,25/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,3,LAI Chun-wing,黎駿穎,,,M,男,District Councilor,區議員,The Democratic Party,民主黨,25/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,CHAN Hoi-wing,陳凱榮,,,M,男,Community Officer,社區主任,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,CHEUNG Kwok-kwan,張國鈞,,,M,男,Solicitor,律師,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,CHEUNG Wai-nam,張偉楠,,,M,男,Community Officer,社區主任,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,LAU Tin-ching,劉天正,,,M,男,Corporate Communication Officer,企業傳訊主任,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,MUK Ka-chun,穆家駿,,,M,男,Secondary School Teacher,中學教師,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,3,CHENG Wing-shun Vincent,鄭泳舜,,,M,男,Legislative Councilor,立法會議員,Democratic Alliance for the Betterment and Progress of Hong Kong (DAB),民主建港協進聯盟(民建聯),22/7/2020
